frame,timestamp_sec,player,shot
172,6.88,2,BACKHAND
172,6.88,3,FOREHAND
173,6.92,1,BACKHAND
173,6.92,2,BACKHAND
173,6.92,3,FOREHAND
173,6.92,4,BACKHAND
174,6.96,1,BACKHAND
174,6.96,2,BACKHAND
174,6.96,3,FOREHAND
175,7.0,1,BACKHAND
175,7.0,2,BACKHAND
176,7.04,1,BACKHAND
176,7.04,2,BACKHAND
177,7.08,1,BACKHAND
177,7.08,2,BACKHAND
178,7.12,1,BACKHAND
178,7.12,2,BACKHAND
179,7.16,1,FOREHAND
179,7.16,2,BACKHAND
180,7.2,1,FOREHAND
180,7.2,2,BACKHAND
181,7.24,1,FOREHAND
181,7.24,2,BACKHAND
182,7.28,1,FOREHAND
182,7.28,2,FOREHAND
183,7.32,1,FOREHAND
183,7.32,2,FOREHAND
183,7.32,3,FOREHAND
184,7.36,1,FOREHAND
184,7.36,2,BACKHAND
184,7.36,3,FOREHAND
185,7.4,1,FOREHAND
185,7.4,2,BACKHAND
185,7.4,3,FOREHAND
186,7.44,1,FOREHAND
186,7.44,2,BACKHAND
186,7.44,3,FOREHAND
187,7.48,1,FOREHAND
187,7.48,2,FOREHAND
187,7.48,3,FOREHAND
188,7.52,1,FOREHAND
188,7.52,2,FOREHAND
188,7.52,3,FOREHAND
189,7.56,1,FOREHAND
189,7.56,2,FOREHAND
190,7.6,1,FOREHAND
190,7.6,2,FOREHAND
191,7.64,1,FOREHAND
191,7.64,2,FOREHAND
192,7.68,1,FOREHAND
193,7.72,1,FOREHAND
194,7.76,1,FOREHAND
195,7.8,1,FOREHAND
196,7.84,1,FOREHAND
197,7.88,1,FOREHAND
197,7.88,2,FOREHAND
198,7.92,1,FOREHAND
199,7.96,1,FOREHAND
199,7.96,2,FOREHAND
200,8.0,1,FOREHAND
200,8.0,2,FOREHAND
201,8.04,1,FOREHAND
201,8.04,2,BACKHAND
202,8.08,1,FOREHAND
202,8.08,2,BACKHAND
203,8.12,1,FOREHAND
203,8.12,2,BACKHAND
204,8.16,1,FOREHAND
204,8.16,2,BACKHAND
205,8.2,1,FOREHAND
205,8.2,2,FOREHAND
206,8.24,1,FOREHAND
206,8.24,2,FOREHAND
207,8.28,1,FOREHAND
207,8.28,2,FOREHAND
208,8.32,1,FOREHAND
208,8.32,2,BACKHAND
209,8.36,1,FOREHAND
209,8.36,2,BACKHAND
210,8.4,1,FOREHAND
210,8.4,2,BACKHAND
211,8.44,1,FOREHAND
211,8.44,2,BACKHAND
211,8.44,3,FOREHAND
212,8.48,1,FOREHAND
212,8.48,2,BACKHAND
212,8.48,3,FOREHAND
213,8.52,1,FOREHAND
213,8.52,2,BACKHAND
213,8.52,3,FOREHAND
214,8.56,1,FOREHAND
214,8.56,2,BACKHAND
214,8.56,3,BACKHAND
215,8.6,1,FOREHAND
215,8.6,2,FOREHAND
215,8.6,3,FOREHAND
216,8.64,1,FOREHAND
216,8.64,2,BACKHAND
216,8.64,3,BACKHAND
216,8.64,4,FOREHAND
217,8.68,1,FOREHAND
217,8.68,2,FOREHAND
217,8.68,3,BACKHAND
217,8.68,4,FOREHAND
218,8.72,1,FOREHAND
218,8.72,2,FOREHAND
218,8.72,3,FOREHAND
219,8.76,1,FOREHAND
219,8.76,2,FOREHAND
219,8.76,3,FOREHAND
220,8.8,1,FOREHAND
220,8.8,2,FOREHAND
220,8.8,3,FOREHAND
221,8.84,1,FOREHAND
221,8.84,2,FOREHAND
221,8.84,3,FOREHAND
222,8.88,1,FOREHAND
222,8.88,2,FOREHAND
222,8.88,3,FOREHAND
223,8.92,1,FOREHAND
223,8.92,2,FOREHAND
223,8.92,3,FOREHAND
224,8.96,1,FOREHAND
224,8.96,2,FOREHAND
224,8.96,3,FOREHAND
225,9.0,1,FOREHAND
225,9.0,2,FOREHAND
225,9.0,3,FOREHAND
226,9.04,1,FOREHAND
226,9.04,2,FOREHAND
226,9.04,3,FOREHAND
227,9.08,1,FOREHAND
227,9.08,2,FOREHAND
227,9.08,3,FOREHAND
228,9.12,1,FOREHAND
228,9.12,2,FOREHAND
228,9.12,3,FOREHAND
229,9.16,1,FOREHAND
229,9.16,2,FOREHAND
229,9.16,3,FOREHAND
230,9.2,1,FOREHAND
230,9.2,2,FOREHAND
230,9.2,3,FOREHAND
231,9.24,1,FOREHAND
231,9.24,2,FOREHAND
231,9.24,3,FOREHAND
232,9.28,1,FOREHAND
232,9.28,2,FOREHAND
232,9.28,3,FOREHAND
233,9.32,1,FOREHAND
233,9.32,2,FOREHAND
233,9.32,3,FOREHAND
234,9.36,1,FOREHAND
234,9.36,2,FOREHAND
234,9.36,3,FOREHAND
235,9.4,1,FOREHAND
235,9.4,2,FOREHAND
235,9.4,3,FOREHAND
236,9.44,1,FOREHAND
236,9.44,2,FOREHAND
236,9.44,3,FOREHAND
237,9.48,1,FOREHAND
237,9.48,2,FOREHAND
237,9.48,3,FOREHAND
238,9.52,1,FOREHAND
238,9.52,2,FOREHAND
238,9.52,3,FOREHAND
239,9.56,1,FOREHAND
239,9.56,2,FOREHAND
239,9.56,3,FOREHAND
240,9.6,1,FOREHAND
240,9.6,2,FOREHAND
240,9.6,3,FOREHAND
241,9.64,1,FOREHAND
241,9.64,2,FOREHAND
241,9.64,3,FOREHAND
242,9.68,1,FOREHAND
242,9.68,2,FOREHAND
242,9.68,3,FOREHAND
243,9.72,1,FOREHAND
243,9.72,2,FOREHAND
243,9.72,3,FOREHAND
244,9.76,1,FOREHAND
244,9.76,2,FOREHAND
244,9.76,3,FOREHAND
245,9.8,1,FOREHAND
245,9.8,2,BACKHAND
245,9.8,3,FOREHAND
246,9.84,1,FOREHAND
246,9.84,2,BACKHAND
246,9.84,3,FOREHAND
247,9.88,1,FOREHAND
247,9.88,2,BACKHAND
247,9.88,3,FOREHAND
248,9.92,1,FOREHAND
248,9.92,2,BACKHAND
248,9.92,3,FOREHAND
249,9.96,1,FOREHAND
249,9.96,2,FOREHAND
249,9.96,3,FOREHAND
250,10.0,1,FOREHAND
250,10.0,2,FOREHAND
251,10.04,1,FOREHAND
251,10.04,2,BACKHAND
252,10.08,1,BACKHAND
252,10.08,2,BACKHAND
253,10.12,1,BACKHAND
253,10.12,2,BACKHAND
254,10.16,1,BACKHAND
254,10.16,2,FOREHAND
255,10.2,1,BACKHAND
255,10.2,2,FOREHAND
256,10.24,1,BACKHAND
256,10.24,2,FOREHAND
257,10.28,1,BACKHAND
257,10.28,2,FOREHAND
258,10.32,1,BACKHAND
258,10.32,2,FOREHAND
259,10.36,1,BACKHAND
259,10.36,2,FOREHAND
260,10.4,1,BACKHAND
260,10.4,2,FOREHAND
261,10.44,1,BACKHAND
261,10.44,2,FOREHAND
262,10.48,1,BACKHAND
262,10.48,2,FOREHAND
263,10.52,1,BACKHAND
263,10.52,2,FOREHAND
264,10.56,1,BACKHAND
264,10.56,2,FOREHAND
264,10.56,3,FOREHAND
265,10.6,1,BACKHAND
265,10.6,2,FOREHAND
265,10.6,3,FOREHAND
266,10.64,1,BACKHAND
266,10.64,2,FOREHAND
267,10.68,1,SMASH
267,10.68,2,FOREHAND
268,10.72,1,SMASH
268,10.72,2,FOREHAND
269,10.76,1,SMASH
269,10.76,2,FOREHAND
270,10.8,1,FOREHAND
270,10.8,2,SMASH
271,10.84,1,SMASH
271,10.84,2,FOREHAND
272,10.88,1,SMASH
